time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2018-10-01T06:13:09.217Z,30.400899,78.077971,922.0,18.224,242.5,0.56,6,gps,,,,,,,,82,
2018-10-01T06:13:15.227Z,30.400970,78.078152,883.0,8.576,273.8,0.77,10,gps,1.0,1.6,1.9,-34.0,,,,82,
2018-10-01T06:13:16.789Z,30.400211,78.077905,,26.12,,,0,network,,,,,,,,82,
2018-10-01T06:13:23.226Z,30.400743,78.078075,919.0,24.656,301.2,1.3,11,gps,0.9,1.5,1.8,-34.0,,,,82,
2018-10-01T06:13:28.230Z,30.400762,78.077914,904.0,20.368,245.9,1.69,12,gps,0.9,1.4,1.7,-34.0,,,,82,
2018-10-01T06:13:33.220Z,30.400972,78.078056,865.0,18.224,31.0,0.57,11,gps,0.8,1.4,1.6,-34.0,,,,82,
2018-10-01T06:13:38.000Z,30.400994,78.077992,872.0,10.72,331.1,1.04,11,gps,1.0,1.7,2.0,-34.0,,,,82,
2018-10-01T06:13:39.862Z,30.400992,78.077981,874.0,4.288,261.1,0.25,6,gps,0.8,0.8,1.1,-34.0,,,,82,
2018-10-01T06:13:42.037Z,30.400945,78.077963,876.0,4.288,247.8,0.63,6,gps,0.8,0.8,1.1,-34.0,,,,82,
2018-10-01T06:13:44.184Z,30.400940,78.077949,876.0,5.36,247.9,0.63,2,gps,0.8,0.8,1.1,-34.0,,,,82,
2018-10-01T06:13:48.000Z,30.400883,78.077891,876.0,5.36,187.6,1.62,14,gps,1.4,0.9,1.7,-34.0,,,,82,
2018-10-01T06:13:49.669Z,30.400841,78.077873,873.0,5.36,174.5,1.75,4,gps,0.7,0.8,1.1,-34.0,,,,82,
2018-10-01T06:13:51.852Z,30.400806,78.077877,873.0,8.576,174.5,1.76,2,gps,0.7,0.8,1.0,-34.0,,,,82,
2018-10-01T06:13:53.891Z,30.400234,78.077844,872.7999877929688,25.398,,,0,network,,,,,,,,82,
2018-10-01T06:13:56.245Z,30.400733,78.077893,875.0,7.504,169.4,1.25,6,gps,0.7,0.8,1.0,-34.0,,,,82,
2018-10-01T06:13:58.425Z,30.400709,78.077889,876.0,8.576,189.2,1.25,5,gps,1.0,0.8,1.3,-34.0,,,,82,
2018-10-01T06:14:02.000Z,30.400694,78.077852,874.0,9.648001,187.6,0.95,13,gps,0.9,0.8,1.2,-34.0,,,,82,
2018-10-01T06:14:03.662Z,30.400704,78.077856,874.0,7.504,138.9,0.89,7,gps,0.9,0.8,1.2,-34.0,,,,82,
2018-10-01T06:14:05.826Z,30.400691,78.077869,875.0,8.576,138.8,0.89,1,gps,0.9,0.8,1.2,-34.0,,,,82,
2018-10-01T06:14:07.981Z,30.400699,78.077838,876.0,7.504,218.6,0.85,6,gps,0.9,0.8,1.2,-34.0,,,,82,
2018-10-01T06:14:10.158Z,30.400664,78.077821,874.0,8.576,207.1,1.36,3,gps,1.1,0.9,1.4,-34.0,,,,82,
2018-10-01T06:14:12.298Z,30.400638,78.077793,873.0,6.432,213.3,1.58,3,gps,1.4,0.9,1.7,-34.0,,,,82,
2018-10-01T06:14:14.463Z,30.400616,78.077764,873.0,8.576,218.9,1.59,1,gps,1.0,0.9,1.3,-34.0,,,,82,
2018-10-01T06:14:18.000Z,30.400628,78.077684,869.0,7.504,194.8,1.3,11,gps,1.1,0.9,1.4,-34.0,,,,82,
